colNumber feature finalName
1 tBodyAccMeanX mean(tBodyAccMeanX)
2 tBodyAccMeanY mean(tBodyAccMeanY)
3 tBodyAccMeanZ mean(tBodyAccMeanZ)
4 tBodyAccStdX mean(tBodyAccStdX)
5 tBodyAccStdY mean(tBodyAccStdY)
6 tBodyAccStdZ mean(tBodyAccStdZ)
41 tGravityAccMeanX mean(tGravityAccMeanX)
42 tGravityAccMeanY mean(tGravityAccMeanY)
43 tGravityAccMeanZ mean(tGravityAccMeanZ)
44 tGravityAccStdX mean(tGravityAccStdX)
45 tGravityAccStdY mean(tGravityAccStdY)
46 tGravityAccStdZ mean(GravityAccStdZ)
81 tBodyAccJerkMeanX mean(tBodyAccJerkMeanX)
82 tBodyAccJerkMeanY mean(tBodyAccJerkMeanY)
83 tBodyAccJerkMeanZ mean(tBodyAccJerkMeanZ)
84 tBodyAccJerkStdX mean(tBodyAccJerkStdX)
85 tBodyAccJerkStdY mean(tBodyAccJerkStdY)
86 tBodyAccJerkStdZ mean(tBodyAccJerkStdZ)
121 tBodyGyroMeanX mean(tBodyGyroMeanX)
122 tBodyGyroMeanY mean(tBodyGyroMeanY)
123 tBodyGyroMeanZ mean(tBodyGyroMeanZ)
124 tBodyGyroStdX mean(tBodyGyroStdX)
125 tBodyGyroStdY mean(tBodyGyroStdY)
126 tBodyGyroStdZ mean(tBodyGyroStdZ)
161 tBodyGyroJerkMeanX mean(tBodyGyroJerkMeanX)
162 tBodyGyroJerkMeanY mean(tBodyGyroJerkMeanY)
163 tBodyGyroJerkMeanZ mean(tBodyGyroJerkMeanZ)
164 tBodyGyroJerkStdX mean(tBodyGyroJerkStdX)
165 tBodyGyroJerkStdY mean(tBodyGyroJerkStdY)
166 tBodyGyroJerkStdZ mean(tBodyGyroJerkStdZ)
201 tBodyAccMagMean mean(tBodyAccMagMean)
202 tBodyAccMagStd mean(tBodyAccMagStd)
214 tGravityAccMagMean mean(tGravityAccMagMean)
215 tGravityAccMagStd mean(tGravityAccMagStd)
227 tBodyAccJerkMagMean mean(tBodyAccJerkMagMean)
228 tBodyAccJerkMagStd mean(tBodyAccJerkMagStd)
240 tBodyGyroMagMean mean(tBodyGyroMagMean)
241 tBodyGyroMagStd mean(tBodyGyroMagStd)
253 tBodyGyroJerkMagMean mean(tBodyGyroJerkMagMean)
254 tBodyGyroJerkMagStd mean(tBodyGyroJerkMagStd)
266 fBodyAccMeanX mean(fBodyAccMeanX)
267 fBodyAccMeanY mean(fBodyAccMeanY)
268 fBodyAccMeanZ mean(fBodyAccMeanZ)
269 fBodyAccStdX mean(fBodyAccStdX)
270 fBodyAccStdY mean(fBodyAccStdY)
271 fBodyAccStdZ mean(fBodyAccStdZ)
294 fBodyAccMeanFreqX mean(fBodyAccMeanFreqX)
295 fBodyAccMeanFreqY mean(fBodyAccMeanFreqY)
296 fBodyAccMeanFreqZ mean(fBodyAccMeanFreqZ)
345 fBodyAccJerkMeanX mean(fBodyAccJerkMeanX)
346 fBodyAccJerkMeanY mean(fBodyAccJerkMeanY)
347 fBodyAccJerkMeanZ mean(fBodyAccJerkMeanZ)
348 fBodyAccJerkStdX mean(fBodyAccJerkStdX)
349 fBodyAccJerkStdY mean(fBodyAccJerkStdY)
350 fBodyAccJerkStdZ mean(fBodyAccJerkStdZ)
373 fBodyAccJerkMeanFreqX mean(fBodyAccJerkMeanFreqX)
374 fBodyAccJerkMeanFreqY mean(fBodyAccJerkMeanFreqY)
375 fBodyAccJerkMeanFreqZ mean(fBodyAccJerkMeanFreqZ)
424 fBodyGyroMeanX mean(fBodyGyroMeanX)
425 fBodyGyroMeanY mean(fBodyGyroMeanY)
426 fBodyGyroMeanZ mean(fBodyGyroMeanZ)
427 fBodyGyroStdX mean(fBodyGyroStdX)
428 fBodyGyroStdY mean(fBodyGyroStdY)
429 fBodyGyroStdZ mean(fBodyGyroStdZ)
452 fBodyGyroMeanFreqX mean(fBodyGyroMeanFreqX)
453 fBodyGyroMeanFreqY mean(fBodyGyroMeanFreqY)
454 fBodyGyroMeanFreqZ mean(fBodyGyroMeanFreqZ)
503 fBodyAccMagMean mean(fBodyAccMagMean)
504 fBodyAccMagStd mean(fBodyAccMagStd)
513 fBodyAccMagMeanFreq mean(fBodyAccMagMeanFreq)
516 fBodyBodyAccJerkMagMean mean(fBodyBodyAccJerkMagMean)
517 fBodyBodyAccJerkMagStd mean(fBodyBodyAccJerkMagStd)
526 fBodyBodyAccJerkMagMeanFreq mean(fBodyBodyAccJerkMagMeanFreq)
529 fBodyBodyGyroMagMean mean(fBodyBodyGyroMagMean)
530 fBodyBodyGyroMagStd mean(fBodyBodyGyroMagStd)
539 fBodyBodyGyroMagMeanFreq mean(fBodyBodyGyroMagMeanFreq)
542 fBodyBodyGyroJerkMagMean mean(fBodyBodyGyroJerkMagMean)
543 fBodyBodyGyroJerkMagStd mean(fBodyBodyGyroJerkMagStd)
552 fBodyBodyGyroJerkMagMeanFre mean(fBodyBodyGyroJerkMagMeanFreqq)
